Applicant_ID,Age,Gender,Marital_Status,Education_Level,Employment_Status,Employment_Years,Home_Ownership,Number_of_Dependents,Monthly_Income,Annual_Income,Credit_Limit,Credit_Utilization,Credit_History_Years,Total_Credit_Accounts,Open_Credit_Lines,Credit_Cards,Installment_Accounts,Real_Estate_Loans,Debt_Ratio,Total_Debt,Loan_Amount,Loan_Term_Months,Interest_Rate,Loan_Purpose,Region,Credit_Inquiries_6M,Times_30_59_Days_Past_Due,Times_60_89_Days_Past_Due,Times_90_Plus_Days_Past_Due,Times_120_Plus_Days_Past_Due,Late_Payment_Count,Previous_Bankruptcies,Tax_Liens,Delinquency_History,Has_Employment_Income,SeriousDlqin2yrs
100035,55,Male,Widowed,Bachelor,Employed,9.4,Own,,2879.0,34548.0,19716.0,0.3183,13.7,14,7,6,4,1,0.796,32704.0,6364.0,24,11.54,Auto,Central,2,0,1,0,0,1,0,0,0,Yes,0
100036,30,Male,Divorced,Master,Employed,0.0,Mortgage,,12172.0,146064.0,47545.0,0.5552,10.0,9,10,4,5,0,0.0929,16173.0,156566.0,60,9.36,Auto,North,1,0,0,0,0,0,0,0,0,Yes,0
100037,48,Male,Married,Diploma,Employed,0.0,Mortgage,4.0,5657.0,67884.0,25215.0,0.7672,7.1,7,1,6,2,1,1.2412,92195.0,15562.0,36,11.41,Medical,North,0,0,0,0,0,0,0,0,0,Yes,1
100038,21,Male,Single,Master,Self-Employed,9.8,Rent,1.0,,27696.0,14946.0,0.2841,16.3,10,5,6,3,1,0.8373,26976.0,17427.0,72,12.09,Business,North,1,0,0,1,0,1,0,0,0,Yes,0
100039,29,Female,Single,Bachelor,Self-Employed,0.0,Own,1.0,2636.0,31632.0,18021.0,0.8178,7.7,4,5,4,3,0,0.5064,14553.0,6553.0,84,9.85,Medical,Central,1,1,0,0,0,1,0,0,0,Yes,0
100040,47,Male,Married,High School,Employed,13.8,Mortgage,2.0,5557.0,66684.0,22823.0,0.3151,6.2,5,10,6,2,1,0.8083,64141.0,50771.0,60,7.25,Personal,North,1,1,0,0,0,1,0,0,0,Yes,0
100041,54,Male,Married,Diploma,Employed,0.0,Mortgage,0.0,4229.0,50748.0,37435.0,0.2433,13.2,13,7,6,3,0,0.6458,26542.0,49041.0,60,12.06,Personal,East,0,0,0,0,0,0,0,0,0,Yes,1
100042,47,Female,Married,Bachelor,Self-Employed,3.9,Own,1.0,2343.0,28116.0,12413.0,0.3369,6.7,7,9,8,2,0,0.4776,7426.0,21364.0,60,8.06,Education,Central,1,0,0,0,0,0,0,0,0,Yes,0
100043,44,Female,Married,Bachelor,Employed,10.8,Rent,1.0,1829.0,21948.0,9739.0,0.5186,16.8,15,4,4,2,1,0.4586,11394.0,7335.0,72,7.78,Education,East,1,1,1,0,0,2,0,0,1,Yes,0
100044,41,Female,Married,High School,Retired,16.3,Mortgage,2.0,3172.0,38064.0,17665.0,0.5187,12.5,13,8,5,2,2,0.9565,11826.0,36705.0,48,6.61,Education,North,0,0,0,0,0,0,0,1,0,Yes,0
100045,27,Female,Married,High School,Unemployed,6.4,Rent,2.0,6238.0,74856.0,48766.0,0.6709,15.0,10,11,3,2,1,0.1714,9093.0,69821.0,60,12.54,Education,Central,1,0,1,0,1,1,0,0,0,No,0
100046,36,Female,Single,Master,Employed,3.0,Mortgage,2.0,5477.0,65724.0,10530.0,0.646,4.8,11,5,8,1,2,0.7365,25171.0,35456.0,48,10.93,Home,South,0,0,0,0,0,0,0,0,0,Yes,1
100047,39,Male,Married,Master,Employed,4.3,Mortgage,0.0,3971.0,47652.0,17481.0,0.3399,,10,7,5,3,0,0.2692,11339.0,5369.0,12,5.83,Business,East,0,0,0,0,0,0,0,0,0,Yes,0
100048,58,Female,Married,Bachelor,Employed,16.9,Mortgage,2.0,6271.0,75252.0,42475.0,0.0776,5.6,10,6,4,2,0,0.1839,7541.0,34389.0,60,7.76,Medical,East,2,0,0,0,0,0,0,0,0,Yes,0
100049,49,Male,Married,Master,Self-Employed,16.8,Own,0.0,10813.0,129756.0,55432.0,0.9212,12.2,12,6,7,1,0,0.1301,6088.0,65332.0,60,8.35,Debt Consolidation,West,1,0,1,0,0,1,0,0,1,Yes,0
100050,24,Female,Married,Master,Self-Employed,6.5,Mortgage,0.0,7106.0,85272.0,19908.0,0.4984,9.6,7,4,5,6,2,0.8662,64689.0,98326.0,60,12.7,Education,Central,1,0,0,0,0,0,0,1,0,Yes,0
100051,49,Male,Single,Diploma,Employed,11.0,Own,3.0,5083.0,60996.0,17244.0,0.4267,15.2,11,15,5,3,2,0.938,21713.0,30756.0,24,7.71,Education,Central,0,0,0,0,0,0,0,0,0,Yes,0
100052,40,Other,Married,Diploma,Self-Employed,0.0,Mortgage,3.0,10054.0,120648.0,78670.0,0.3995,8.2,10,10,6,4,5,0.4543,17632.0,57902.0,60,8.9,Business,South,0,1,1,0,0,2,0,0,1,Yes,0
100053,37,Male,Married,Bachelor,Self-Employed,,Mortgage,2.0,2947.0,35364.0,,0.7328,23.3,9,16,8,4,1,0.3266,11460.0,43391.0,60,5.32,Medical,North,0,1,2,0,0,3,1,0,0,Yes,1
100054,52,Other,Married,High School,Employed,0.0,Rent,2.0,4752.0,57024.0,20170.0,0.414,13.7,9,9,7,4,1,0.6921,19008.0,64062.0,60,7.5,Debt Consolidation,Central,1,1,0,0,1,1,1,0,0,Yes,1
100055,57,Female,Married,Master,Employed,8.0,Mortgage,1.0,4826.0,57912.0,10189.0,0.916,9.0,7,9,3,2,0,0.2364,5108.0,1000.0,60,5.0,Medical,West,1,0,0,0,0,0,0,0,0,Yes,1
100056,56,Female,Divorced,High School,Employed,5.8,Rent,5.0,2461.0,29532.0,16941.0,0.4764,5.0,9,4,3,4,1,0.5345,7907.0,7936.0,48,10.47,Business,West,3,1,0,0,0,1,0,0,0,Yes,0
100057,35,Female,Single,Bachelor,Employed,2.8,Mortgage,1.0,4186.0,50232.0,20460.0,0.3393,13.7,7,5,8,2,2,1.2035,39032.0,19537.0,84,9.14,Home,Central,2,0,0,0,0,0,0,0,0,Yes,0
100058,41,Female,Single,Master,Employed,0.0,Rent,0.0,1428.0,17136.0,7251.0,0.3777,8.2,8,3,9,5,1,0.2157,1619.0,1000.0,60,5.0,Home,Central,0,1,0,0,0,1,0,0,0,Yes,1
100059,49,Male,Married,Diploma,Unemployed,15.8,Mortgage,1.0,19061.0,228732.0,132668.0,0.2328,14.4,13,5,13,3,1,0.5718,95764.0,125726.0,72,7.1,Home,West,2,1,0,0,0,1,0,0,0,No,0
100060,57,Female,Married,High School,Unemployed,2.2,Own,2.0,2990.0,35880.0,11053.0,0.6435,4.7,11,5,8,5,1,0.5241,6136.0,22741.0,60,10.8,Education,North,1,0,0,0,0,0,0,1,0,No,0
100061,39,Male,Single,Diploma,Employed,16.6,Rent,3.0,15421.0,185052.0,70939.0,0.48,17.9,9,12,9,2,0,0.0656,14151.0,160465.0,48,6.62,Home,West,1,0,0,0,0,0,0,0,0,Yes,0
100062,43,Male,Married,Bachelor,Self-Employed,0.0,Rent,3.0,5638.0,67656.0,27066.0,0.6874,6.6,9,11,6,3,1,0.6493,42428.0,43444.0,60,5.0,Debt Consolidation,Central,1,0,0,0,0,0,0,0,0,Yes,0
100063,32,Male,Widowed,High School,Employed,8.8,Mortgage,0.0,7940.0,95280.0,42510.0,0.3726,9.2,9,5,6,2,0,1.021,71938.0,107297.0,24,11.75,Personal,East,1,0,0,0,0,0,0,0,0,Yes,0
100064,31,Male,Divorced,Master,Retired,12.5,Rent,1.0,4003.0,48036.0,20093.0,1.1484,16.4,10,8,9,1,1,0.2936,14510.0,59243.0,84,10.24,Education,East,0,1,0,0,0,1,0,0,0,Yes,1
100065,55,Female,Divorced,High School,Employed,13.8,Mortgage,0.0,6296.0,75552.0,20890.0,0.482,17.9,3,6,10,4,1,1.0307,33235.0,76440.0,72,9.3,Education,Central,0,0,0,0,0,0,0,0,0,Yes,0
100066,61,Male,Single,Bachelor,Self-Employed,17.2,Own,0.0,8394.0,100728.0,53963.0,0.5555,16.2,11,6,4,0,0,0.1537,6361.0,36469.0,36,7.12,Medical,North,0,1,0,0,0,1,0,0,0,Yes,0
100067,44,Female,Married,High School,Employed,1.1,Mortgage,0.0,8471.0,101652.0,67172.0,0.2503,1.0,9,12,4,3,1,0.4549,29617.0,61122.0,36,6.44,Debt Consolidation,North,3,0,0,0,0,0,0,0,0,Yes,1
100068,57,Male,Divorced,Bachelor,Employed,2.0,Own,1.0,9101.0,109212.0,33738.0,0.1471,10.7,12,5,2,6,1,0.2405,30786.0,26271.0,60,7.54,Home,South,1,0,0,0,0,0,0,0,0,Yes,0
100069,49,Female,Single,High School,Employed,0.0,Mortgage,3.0,4329.0,51948.0,43098.0,0.2891,10.8,3,7,8,5,0,0.2254,3630.0,50089.0,84,5.0,Personal,North,2,0,0,0,0,0,1,0,1,Yes,1
100070,37,Female,Single,Bachelor,Employed,5.6,Own,1.0,,48300.0,17144.0,0.2116,17.9,6,3,3,3,1,0.1244,2441.0,25395.0,24,8.1,Medical,Central,0,2,0,0,0,2,0,0,0,Yes,0
100071,49,Male,Single,Diploma,Employed,14.1,Own,1.0,1951.0,23412.0,6281.0,0.2828,20.6,10,8,4,4,2,0.3182,7534.0,21927.0,48,5.09,Debt Consolidation,North,0,1,0,0,0,1,0,1,0,Yes,0
100072,63,Male,Married,High School,Employed,10.1,Mortgage,2.0,7728.0,92736.0,40384.0,0.5855,17.9,13,6,9,4,1,0.5209,31256.0,81497.0,24,6.88,Medical,North,0,0,0,0,0,0,0,0,0,Yes,0
100073,45,Male,Single,Diploma,Employed,1.9,Own,1.0,11115.0,133380.0,32659.0,0.5823,10.5,15,9,2,3,0,1.353,74323.0,118676.0,36,9.78,Medical,East,1,1,0,0,0,1,0,0,0,Yes,0
100074,64,Male,Married,Bachelor,Employed,11.5,Mortgage,2.0,15723.0,188676.0,48788.0,0.2784,8.3,14,6,5,1,1,0.6149,126808.0,200126.0,12,7.64,Debt Consolidation,Central,0,0,0,0,0,0,0,0,0,Yes,1
100075,21,Male,Divorced,Master,Self-Employed,8.8,Rent,1.0,6707.0,80484.0,37722.0,0.5538,16.2,8,5,10,6,0,0.4659,37173.0,77628.0,84,10.1,Medical,South,0,0,0,0,0,0,0,0,0,Yes,0
100076,55,Female,Married,Doctorate,Employed,14.1,Rent,2.0,3342.0,40104.0,26736.0,0.0692,16.0,14,4,6,4,1,0.5102,15329.0,22545.0,60,6.62,Debt Consolidation,North,2,0,1,1,0,2,0,0,0,Yes,0
100077,46,Female,Single,Master,Self-Employed,1.2,Rent,1.0,1825.0,21900.0,4882.0,0.1723,7.2,5,7,4,1,1,0.0891,2338.0,21152.0,36,8.64,Home,East,0,0,0,1,0,1,0,0,0,Yes,0
100078,41,Female,Married,Diploma,Self-Employed,6.8,Mortgage,2.0,10825.0,129900.0,74586.0,0.3626,11.1,8,3,1,3,0,0.6387,77006.0,161138.0,24,9.96,Home,West,0,1,0,0,0,1,0,0,0,Yes,0
100079,46,Female,Divorced,Bachelor,Employed,6.0,Mortgage,1.0,1711.0,20532.0,12360.0,0.1791,12.5,12,8,3,1,1,0.9621,15998.0,1000.0,72,9.2,Auto,North,4,0,0,0,0,0,0,0,0,Yes,1
100080,21,Male,Married,Diploma,Employed,3.2,Mortgage,3.0,4408.0,52896.0,18394.0,0.746,9.6,5,5,4,6,2,1.4236,24570.0,21418.0,60,12.6,Home,West,1,0,0,0,1,0,0,0,0,Yes,1
100081,42,Other,Married,Bachelor,Employed,4.9,Own,3.0,4754.0,57048.0,23919.0,0.533,8.3,5,6,4,2,2,0.8862,52556.0,49653.0,12,8.46,Personal,South,2,0,1,0,0,1,0,0,0,Yes,1
100082,49,Female,Married,High School,Employed,7.2,Own,3.0,5257.0,63084.0,28245.0,0.2557,11.2,3,3,3,6,1,0.1822,7608.0,21680.0,36,8.34,Personal,West,3,0,0,0,0,0,0,0,0,Yes,0
100083,63,Male,Married,High School,Employed,14.2,Rent,1.0,5629.0,67548.0,46611.0,0.5048,16.5,8,10,9,4,2,0.2702,6152.0,33642.0,36,7.76,Personal,West,0,1,0,0,0,1,0,0,0,Yes,0
100084,39,Male,Married,High School,Employed,3.9,Rent,2.0,6017.0,72204.0,15400.0,0.7707,10.5,11,11,7,1,1,0.3801,9759.0,101163.0,12,6.66,Personal,South,1,0,0,0,0,0,0,0,0,Yes,0
100085,35,Female,Married,Diploma,Retired,7.5,Mortgage,1.0,1144.0,13728.0,4223.0,0.5313,,13,15,3,2,1,0.4029,5302.0,15308.0,36,9.57,Education,South,1,0,0,0,0,0,0,0,0,Yes,1
100086,39,Female,Single,High School,Employed,0.7,Rent,3.0,5553.0,66636.0,16919.0,0.3547,25.3,8,7,4,4,1,1.2578,56421.0,39923.0,36,13.71,Personal,South,1,0,0,0,0,0,0,0,0,Yes,1
100087,56,Other,Married,Bachelor,Employed,18.0,Mortgage,0.0,1291.0,15492.0,2450.0,0.6148,9.3,8,1,4,1,1,0.3617,3000.0,1000.0,60,5.0,Business,Central,0,1,0,0,0,1,0,0,0,Yes,0
100088,49,Male,Widowed,High School,Self-Employed,13.1,Mortgage,3.0,8852.0,106224.0,40122.0,0.357,10.2,10,4,4,2,0,0.6136,22527.0,35020.0,24,6.09,Debt Consolidation,East,1,0,0,0,0,0,0,0,0,Yes,1
100089,39,Female,Married,Bachelor,Retired,8.6,Mortgage,0.0,,46008.0,20671.0,0.1528,16.5,12,4,6,4,1,0.1205,5792.0,38716.0,48,7.94,Home,Central,1,1,1,0,0,2,0,0,0,Yes,1
100090,51,Male,Single,High School,Unemployed,1.3,Rent,1.0,1353.0,16236.0,8502.0,0.478,8.6,10,7,4,1,1,0.7173,5062.0,22460.0,36,10.02,Home,South,0,0,1,0,0,1,0,0,0,No,0
100091,46,Male,Married,Bachelor,Employed,0.6,Rent,1.0,,38880.0,,0.2661,12.0,9,8,6,3,3,0.7242,30239.0,6208.0,48,7.15,Medical,West,2,0,0,0,0,0,0,0,1,Yes,0
100092,57,Male,Married,High School,Unemployed,7.2,Rent,0.0,3797.0,45564.0,21880.0,0.3367,11.8,9,2,6,2,1,0.3648,7655.0,7461.0,48,10.86,Home,West,1,0,2,0,0,2,0,0,1,No,0
100093,37,Male,Single,Master,Retired,2.2,Mortgage,0.0,11926.0,143112.0,56475.0,0.1089,12.9,7,9,8,3,2,1.1031,146529.0,183540.0,84,10.65,Education,East,1,1,0,0,0,1,0,0,0,Yes,0
100094,41,Male,Married,High School,Retired,2.8,Mortgage,0.0,6250.0,75000.0,15731.0,0.1984,18.9,14,10,1,5,0,0.2111,18860.0,14758.0,36,11.19,Home,West,3,1,0,0,0,1,0,0,0,Yes,1
100095,40,Female,Married,Master,Employed,11.3,Mortgage,2.0,6880.0,82560.0,37792.0,0.3819,6.3,13,8,7,1,0,0.7014,25984.0,47216.0,72,9.05,Business,South,2,0,0,0,0,0,0,0,0,Yes,0
100096,27,Male,Married,High School,Employed,21.6,Mortgage,0.0,11853.0,142236.0,97469.0,0.1343,1.7,6,9,7,1,1,0.4413,68120.0,37316.0,36,9.65,Medical,North,1,0,0,0,0,0,0,0,0,Yes,0
100097,49,Female,Divorced,High School,Retired,5.4,Mortgage,1.0,,62004.0,32285.0,0.5653,1.2,9,7,4,5,0,0.604,39134.0,20835.0,72,8.62,Personal,South,1,0,0,0,0,0,0,0,0,Yes,0
100098,48,Female,Single,High School,Employed,2.3,Rent,5.0,8980.0,107760.0,69018.0,0.5047,10.8,12,6,4,4,2,0.9778,83044.0,57168.0,60,10.17,Auto,East,1,0,0,0,0,0,0,0,0,Yes,0
100099,45,Female,Married,Master,Employed,9.0,Mortgage,3.0,8578.0,102936.0,51804.0,0.8432,15.4,9,8,2,1,0,0.2366,8980.0,97377.0,72,5.4,Business,South,1,0,0,1,0,1,0,0,0,Yes,1
100100,42,Male,Single,High School,Employed,0.0,Mortgage,3.0,2383.0,28596.0,13388.0,0.2752,22.7,12,9,4,3,1,0.1728,4051.0,3927.0,36,9.95,Personal,West,0,0,0,0,0,0,0,0,0,Yes,0
100101,28,Male,Single,Bachelor,Self-Employed,0.0,Mortgage,2.0,14328.0,171936.0,83959.0,0.1474,10.5,16,5,7,3,3,0.4722,32307.0,123003.0,24,5.04,Medical,North,0,1,0,0,0,1,1,0,0,Yes,0
100102,40,Male,Single,High School,Employed,12.3,Mortgage,2.0,2185.0,26220.0,1815.0,0.0103,6.0,10,2,4,6,2,0.7221,14037.0,23037.0,84,8.44,Medical,West,2,0,0,0,0,0,0,0,0,Yes,0
100103,41,Female,Single,Bachelor,Unemployed,7.6,Own,1.0,9985.0,119820.0,46027.0,0.2324,9.8,5,1,3,0,2,0.8777,89908.0,97302.0,36,9.53,Debt Consolidation,Central,0,0,0,0,0,0,0,1,0,No,0
100104,35,Female,Divorced,Master,Employed,0.1,Mortgage,3.0,2052.0,24624.0,6923.0,0.3936,6.7,10,6,6,3,1,0.3472,8972.0,21057.0,36,8.67,Auto,South,0,0,0,0,1,0,0,0,0,Yes,0
100105,43,Female,Single,Bachelor,Employed,1.4,Mortgage,2.0,8130.0,97560.0,57396.0,0.9999,4.1,7,6,7,2,1,0.8795,86969.0,96771.0,48,11.72,Business,Central,0,2,0,0,0,2,0,0,0,Yes,1
100106,50,Male,Divorced,Master,Employed,9.1,Own,1.0,18449.0,221388.0,145231.0,0.6056,11.9,6,9,1,2,2,1.0166,197424.0,259341.0,84,8.76,Debt Consolidation,East,0,0,0,1,0,1,0,0,0,Yes,0
100107,68,Female,Married,High School,Self-Employed,15.6,Mortgage,2.0,,57468.0,15573.0,0.2304,2.4,9,8,5,5,0,1.2027,31117.0,17530.0,36,11.76,Business,Central,2,1,1,0,0,2,0,0,0,Yes,1
100108,47,Male,Single,Bachelor,Employed,11.0,Mortgage,1.0,4656.0,55872.0,21433.0,0.7847,8.0,10,3,6,1,2,0.5172,33083.0,10879.0,60,9.38,Business,South,3,0,1,0,0,1,0,0,0,Yes,1
100109,48,Male,Married,High School,Unemployed,6.0,Own,0.0,8179.0,98148.0,54213.0,0.5961,11.8,9,2,6,4,1,1.1667,99496.0,121868.0,84,9.87,Auto,North,1,1,1,0,2,2,1,0,0,No,1
100110,44,Female,Divorced,High School,Self-Employed,9.3,Mortgage,1.0,4440.0,53280.0,24048.0,0.3424,14.4,4,7,1,5,0,0.7769,33618.0,58348.0,36,10.39,Education,East,1,2,0,0,0,2,0,0,0,Yes,0
100111,22,Female,Married,High School,Employed,9.9,Mortgage,0.0,17933.0,215196.0,68936.0,0.1233,18.5,17,4,5,4,0,0.5552,91487.0,184571.0,48,8.23,Personal,South,2,0,0,0,0,0,0,0,0,Yes,0
100112,45,Male,Divorced,Master,Self-Employed,0.0,Mortgage,2.0,6232.0,74784.0,23600.0,0.1635,1.0,9,10,6,3,3,0.167,6833.0,35435.0,60,11.72,Home,West,0,1,0,0,0,1,0,0,0,Yes,0
100113,46,Female,Married,High School,Retired,13.4,Rent,0.0,4467.0,53604.0,21141.0,0.9493,16.0,6,9,9,8,1,0.5046,15077.0,54396.0,60,13.54,Medical,North,0,0,0,1,0,1,0,0,0,Yes,1
